Mes,Data Scientist,Data Analyst,ML Engineer,Data Engineer,Business Analyst
2010-01,0,0,0,0,44
2010-02,0,0,0,0,48
2010-03,0,0,0,0,0
2010-04,0,0,0,0,42
2010-05,0,41,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,40,0,0,40
2010-09,0,0,0,41,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,19
2011-03,0,0,0,0,17
2011-04,0,0,0,18,35
2011-05,0,0,0,0,49
2011-06,0,0,0,17,17
2011-07,0,0,0,0,16
2011-08,0,0,0,0,14
2011-09,14,14,0,29,0
2011-10,14,0,0,0,27
2011-11,14,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,13
2012-02,0,0,0,0,14
2012-03,0,25,0,0,25
2012-04,0,13,0,0,13
2012-05,0,12,0,0,37
2012-06,0,0,0,0,13
2012-07,12,12,0,0,0
2012-08,0,0,0,0,12
2012-09,12,12,0,12,37
2012-10,0,0,0,0,22
2012-11,0,0,0,0,34
2012-12,0,0,0,0,12
2013-01,0,0,0,0,11
2013-02,0,0,0,0,12
2013-03,0,0,0,0,0
2013-04,10,10,0,0,10
2013-05,0,0,0,0,10
2013-06,0,0,0,0,20
2013-07,0,0,0,0,20
2013-08,0,0,0,0,19
2013-09,0,0,0,10,29
2013-10,18,0,0,0,9
2013-11,0,0,0,0,19
2013-12,10,0,0,0,10
2014-01,9,0,0,0,18
2014-02,10,10,0,0,20
2014-03,9,18,0,0,9
2014-04,0,0,0,0,35
2014-05,9,0,0,9,34
2014-06,10,10,0,0,20
2014-07,18,36,0,9,36
2014-08,18,9,0,0,9
2014-09,18,9,0,9,36
2014-10,0,0,0,0,35
2014-11,0,0,0,0,37
2014-12,10,19,0,0,58
2015-01,27,18,0,0,27
2015-02,10,0,0,0,0
2015-03,0,0,0,0,17
2015-04,0,0,0,0,18
2015-05,35,9,0,0,9
2015-06,9,0,0,0,9
2015-07,8,8,0,0,33
2015-08,8,16,0,8,0
2015-09,0,8,0,0,24
2015-10,24,8,0,16,24
2015-11,8,16,0,0,24
2015-12,17,0,0,0,9
2016-01,8,17,0,17,59
2016-02,0,26,0,0,62
2016-03,24,63,0,8,55
2016-04,40,8,8,8,73
2016-05,47,8,0,8,39
2016-06,25,16,0,0,33
2016-07,8,17,0,0,25
2016-08,25,25,0,0,50
2016-09,8,0,0,0,8
2016-10,8,0,0,0,16
2016-11,8,17,0,8,50
2016-12,8,0,0,17,25
2017-01,0,8,0,0,81
2017-02,17,17,0,17,68
2017-03,22,0,0,22,29
2017-04,8,8,0,24,64
2017-05,15,0,0,8,54
2017-06,16,16,0,8,33
2017-07,66,16,0,16,58
2017-08,22,15,0,22,67
2017-09,40,0,0,0,56
2017-10,15,0,8,15,30
2017-11,37,30,0,22,22
2017-12,32,8,0,8,16
2018-01,45,8,0,23,15
2018-02,42,17,0,8,25
2018-03,57,14,7,0,28
2018-04,66,37,0,7,22
2018-05,43,14,7,7,29
2018-06,22,0,0,22,15
2018-07,22,15,15,15,58
2018-08,62,34,7,7,34
2018-09,44,22,0,22,44
2018-10,35,7,0,14,21
2018-11,30,7,7,22,22
2018-12,17,25,0,8,33
2019-01,75,45,8,30,45
2019-02,47,0,0,16,32
2019-03,76,8,15,15,76
2019-04,54,38,0,46,31
2019-05,35,49,7,35,64
2019-06,89,44,7,37,44
2019-07,95,87,7,44,22
2019-08,62,62,0,34,41
2019-09,69,7,0,49,42
2019-10,38,19,6,32,13
2019-11,40,33,13,40,46
2019-12,50,29,0,14,14
2020-01,52,59,7,13,26
2020-02,100,27,13,40,53
2020-03,63,29,0,23,34
2020-04,45,17,0,62,73
2020-05,49,22,0,38,32
2020-06,44,44,6,6,55
2020-07,63,34,0,46,34
2020-08,45,51,0,40,34
2020-09,58,40,6,35,29
2020-10,66,36,0,48,72
2020-11,86,31,0,12,37
2020-12,44,56,6,31,25
2021-01,87,43,6,25,56
2021-02,40,33,7,33,33
2021-03,41,58,0,17,35
2021-04,48,30,0,30,66
