Survey;Role;N;Proportion
Data Hackers;Analista de BI;150;0,1199040767386091
Data Hackers;Analista de Dados;163;0,1302957633892886
Data Hackers;Cientista de Dados;167;0,1334932054356515
Data Hackers;Eng. de Dados;130;0,1039168665067946
Data Hackers;Eng. de Software;225;0,1798561151079137
Data Hackers;Engenheiro de ML;15;0,0119904076738609
Data Hackers;Estatístico;11;0,0087929656274980
Data Hackers;Outros;390;0,3117505995203837
Kaggle;Analista de BI;798;0,0413964828552161
Kaggle;Analista de Dados;1475;0,0765160554028116
Kaggle;Cientista de Dados;2676;0,1388182808528298
Kaggle;Eng. de Dados;437;0,0226695025159517
Kaggle;Eng. de Software;1968;0,1020905742594802
Kaggle;Engenheiro de ML;1082;0,0561290657259947
Kaggle;Estatístico;290;0,0150438346215697
Kaggle;Outros;10551;0,5473362037661462
